[0:00]  Buenas. Buenas noches.
[2:59:54]  este en paz o en bajador de los países que tienen acreditación que en Venezuela.
[2:59:59]  Le habrían informados en su país.
[3:00:02]  Que aquí este pueblo lo que quiere trabajar en tranquilidad.
[3:00:05]  Y que la menaza ha estado sonido no fortaleza internamente.
[3:00:09]  Cada vez que ha estado sonidos el imperialismo,
[3:00:11]  amenaza nosotros, nosotros salimos fortalecido.
[3:00:14]  Ellos deberían darse cuenta de sus revisar la historia reciente.
[3:00:18]  Revisse la historia reciente.
[3:00:21]  Que ha pasado desde el pueblo, el golpe ha estado, pues, el 2002.
[3:00:26]  ¿Cómo salimos de ahí?
[3:00:29]  Revisse, ¿no?
[3:00:31]  Han confiado aquí en Venezuela una cuerda de inécto.
[3:00:33]  Cuando aquí tienen un presidente que se llama Nicolás Maduro.
[3:00:36]  Gracias.
[3:00:37]  Gracias.
[3:00:41]  Pero usted no le gustan, presidente.
[3:00:45]  Que afiendan a su país.
[3:00:46]  Te le gustan los arrodillados.
[3:00:51]  ¿Cómo hacemos ahí?
[3:00:54]  Félipa música, señaló.
[3:00:56]  Perdón.
[3:00:56]  ¿No veras la verdad es?
[3:00:59]  Félipa música, señaló que las políticas de María Corina Machado son equivocadas
[3:01:05]  porque apoyan las anciones y las tensión que sigan peleando.
[3:01:22]  ¿E veres sola?
[3:01:22]  No, hay una sola versión de los...
[3:01:24]  No, no, no.
[3:01:24]  Ay, ¿verdad?
[3:01:25]  ¿Por qué para la disposición?
[3:01:26]  Suena como hasta ya suena de vivir insuficientes.
[3:01:29]  Te ya no daba de ese paz, pa' enfrentarte a esto.
[3:01:31]  Lo que pasa que incito a estos actores de justa ser funcionarios
[3:01:35]  al Ministerio de la Posición.
[3:01:37]  Hay muchos que se hacen llamar o positor.
[3:01:39]  Pero yo siempre les daba la pregunta.
[3:01:40]  ¿A qué se ocone?
[3:01:42]  Agolar, cuesta es 26 años, hemos visto en qué ha terminado
[3:01:47]  todo lo posición que han construido desde los diferentes medios de comunicación
[3:01:52]  y comunicadores sociales que son responsables de este peor.
[3:01:56]  ¿Por qué para mí son todas ratas o positoras que no se preencia en una de...
[3:02:01]  Los políticos en Venezuela, que se hacen llamar de oposición.
[3:02:08]  Pero que no se oponen, generalmente tienen beneficios de permanencia en el poder
[3:02:13]  con pequeñas cuotas de permanencia en el poder.
[3:02:15]  Ninguna exceda, ningún estratos social se salva de lo que es la marginalización
[3:02:19]  y la de pauperización que ha hecho el régimen de la mano con la oposición, por supuesto.
[3:02:24]  Pero yo no creo que esero pues y yo significa o ponerse a todo.
[3:02:28]  Le decir no a todo.
[3:02:29]  Pero posición es decir lo que se debe decir.
[3:02:33]  Lo que está mal está mal, lo que está bien y está bien y se reconoce.
[3:02:37]  Realmente estos sujetos, no sabemos si lo han puesto al lado.
[3:02:41]  La oposición venezco-lana no es la de la ciudadanía.
[3:02:46]  Es que tenemos un sector de oposición que como tuviendesías,
[3:02:49]  ante la amenaza, aplaude la amenaza y la vez con veneclásito.
[3:02:53]  Eso también es una de vida para el país.
[3:02:57]  Una oposición radicalizada, todo nada.
[3:03:01]  Otro oposición que aquí se descalifica como a la crana, etcétera.
[3:03:08]  Y por supuesto, a la crana, que son los oficiales,
[3:03:11]  a la crana, a la que te tosó, o por supuesto,
[3:03:14]  a la amenaza.
[3:03:15]  No os dicen que yo soy chavista.
[3:03:17]  Pero el problema es que a mí no me han colgado la medallita de chavista.
[3:03:22]  Yo soy una persona de oposición y siempre lo he dicho.
[3:03:28]  Soy una ferria opositora del gobierno y de parte de lo oposición venezolana.
[3:03:33]  ¿Qué es la previsión?
[3:03:34]  En la carta y que es una sociedad rota sin valores,
[3:03:37]  recatables, pero con estos dirigentes.
[3:03:40]  Bueno.
[3:03:41]  La última zona ha habido declaraciones de gente que quiere pasar como opositores
[3:03:50]  y no somos opositores.
[3:03:51]  Y aquí...
[3:03:52]  Bueno, en este momento, caprileta siendo víctima de esos laboratorios.
[3:03:56]  Pero con otro momento, julio gore dirigió.
[3:03:40]  Bueno, en la última zona ha habido declaraciones de gente que quiere pasar como opositores y no somos positorias.
[3:03:51]  Bueno, en este momento, caprileta siendo víctima de esos laboratorios, pero con otro momento,
[3:03:58]  julio gore dirigió, buena parte de esos laboratorios de guerra social de primeros uticia.
[3:04:04]  Entonces, en el que se puede ser en el Eiffel de un partido y a la vez, ser la persona que más
[3:04:09]  ha geste plata en construir laboratorios para hacerle daño y acabar con la imagen de otros
[3:04:14]  dirigentes de oposición en que le reuniones y que le reuniones disfrute exceso.
[3:04:20]  En el que pueda estar tanto llamar traidores a los que son traidores, acá spring le hace
[3:04:25]  vayos, están bien, a con agua niña, arramos ayol, también.
[3:04:29]  La única oposición que entira niña, se ha hecho rica, realmente aquí siempre estuvo la
[3:04:39]  falsa oposición, jugando con el régimen, haciendo la ficción emocionando la gente para
[3:04:45]  vender las esperas a esto.
[3:04:47]  Yo encuentro a los factores de la oposición interna, para la curada.
[3:04:52]  Bueno, oposición que están venes suela de carne hueso, que no están para cada solo
[3:04:56]  influencer, comunicadores, de oficios o personas que tratan de imponer narrativas y
[3:05:01]  en existentes, tratan de alguna manera de pacificar la situación al también es suela.
[3:05:06]  ¿Vere, se ola esta esperando a un oblidir, hago?
[3:05:08]  Y el nuevo líder hago no es ser el mismo opositor, con un partido diferente.
[3:05:14]  Es, los mismos opositores unidos con los nuevos opositores, pero que vayan al frente a
[3:05:20]  que ellos que no tienen mi mancha y a lugar.
[3:05:26]  ¿No hubiera la verdad?
[3:05:31]  La verdad es llegar al veis vol, no es una vida de la Venezuela, la bromita de los
[3:05:40]  buquesera historia, un meme.
[3:05:44]  Pablo Soto, lo primero, deja a ser uso de la bandera chavista, la única bandera de
[3:05:48]  la República Venezuela tiene siete estrelladas, bueno, bueno.
[3:05:53]  Enrique Chuante, me opongo algo bien, no de maduro, como me opuesto durante 27 años al proyecto
[3:05:59]  chavista.
[3:06:01]  Quiero cambiarlo democráticamente y mediante un pacto, pero cuando son el primer disparo
[3:06:06]  gringo contra un soldado en el solano, ese gobierno se convierte en mi gobierno,
[3:06:10]  la patria es primero, de ese Enrique Chuante.
[3:06:14]  Recibés a plauzo, Enrique.
[3:06:18]  Por fin, lo me enrique, bueno, más.
[3:06:23]  Luis Hernán del Lillegada de los barcos gringos, Venezuela, duro la dolda más que el sorro
[3:06:27]  en Telven.
[3:06:28]  La dolla pasa en el sorro, ¿eh?
[3:06:38]  Daniel Lara Farías, hoy es domingo de no, yo no dije que fuera hoy, mañana el
[3:06:46]  lunes del próximo domingo sí.
[3:06:51]  André Caléca es hora de hacer política de forma inteligente, claro, te está hablando
[3:06:57]  de hipúintal y gente, ¿eh?
[3:06:58]  No me he mututó que te está hablando, se es el perejo y va, no, no, no, no, no, no,
[3:07:05]  No, no, no, no, no, no, no.
[3:07:07]  Agencia Venezuela News, Hacker financiado por 20 Venezuela de la Inmaría Corina
[3:07:12]  para atacar el sistema electoral del cine en las elecciones presidencian las 28,
[3:07:17]  revela todos los detalles del plan.
[3:07:19]  Luis fue mayor, dice, ¿qué les parece a quienes dicen que Ego fue quién ganó?
[3:07:24]  Vean este video varias veces para que lo entiendan con claridad, ¿qué les parece
[3:07:29]  a quienes han insultado y seguir insultando, quienes permanecemos expectantes, sin aceptar
[3:07:34]  el triunfo de ego, lo dice Luis Fom mayor que chavista no es. Y van si moróvios, les puedo
[3:07:42]  asegurar que hay un plan y se espera en operaciones quirúrgicas de Estados Unidos contra
[3:07:49]  Venezuela. El tipo está atiado. No, no, no, está atiado, sabe todo lo que pasa en el mundo,
[3:07:57]  ni el mundo, cercano lo que pasa cerca de él, no le da chanse verlo porque su enfoque es el mundo,
[3:08:08]  el mundo, no le da chanse. Dates, si monóvios, el fiente te ahí.
[3:08:28]  Lo primero que yo quisiera hablar es sobre qué es esta fuerza militar de la marina de
[3:08:38]  los Estados Unidos que se ha desplazado hacia el marcario. Es una promo.
[3:08:45]  ¿Qué es lo que viene ahora? Van a ser este operaciones puntuales.
[3:08:50]  ¿Cómo como como mente le dice en quirúrgica? Operación, ¿cómo es que como una cuba?
[3:09:03]  ¿Cómo prepararnos sobre los acontecimientos que eventualmente se nos avesina en ese
[3:09:12]  país.
[3:09:19]  Las operaciones que hace la marina de los Estados Unidos en las costas específicas y en el marcario
[3:09:25]  usulmente pasa en los 2000-200 millones de dólares que han detenido.
[3:09:31]  Y eso como operaciones clásicas con estas operaciones es o hacer muchísimo más
[3:09:35]  eficienta.
[3:09:42]  Sí, es una preocupación valida pero les puedo asegurar que hay un plan.
[3:09:55]  Lo cierto es que este grande es que se está haciendo al sur del marcario.
[3:10:02]  Esto es un sistema de monitoreo. ¿Qué sonar?
[3:10:09]  Hoy es un juego.
[3:10:16]  Ok, ya hablamos de la parte externa. La estrategia, lo objetivo que tiene toda la movilización
[3:10:23]  de la marina. ¿Qué pasa al interno?
[3:10:25]  ¿Qué opinas de nuestro navio? Lo único que lo mantienen es son las cagadas de pájaros.
[3:10:30]  Este plan que surgió de los Estados Unidos del peligro que representa Venezuela no para
[3:10:37]  los Estados Unidos solamente sino para el continente sur americano.
[3:10:41]  Es por ello que países como República o Mínicaana Argentina, el Salvador, todo van a ser
[3:10:47]  parte de una cuarición que tiene un solo objetivo o no sólo señores.
[3:10:54]  Pero no se puede tornar a la democracia en Venezuela y que es necesario para que las democracia
[3:11:00]  funcione.
[3:11:01]  Es parte de su plan maestro también.
[3:11:05]  Y para cerrar amigos y para que te vean la cérdida que tiene todo esto.
[3:11:10]  Todos, todos, hablan sobre el tema de la invasión de los Estados Unidos que no existen,
[3:11:17]  pero en su mente si realmente se enxique.
[3:11:25]  Pero no es antiróco porque este habla de que están que es pa' cambiar el régimen pues.
[3:11:37]  Es claro en mí es un pequeño superagente, es superagente, se le está yendo el yo yo.
[3:11:45]  Porque está entiendo que es no para si lo antiró, que siempre lo hemos creído.
[3:11:52]  Pero este acabado es el que no para que regresé la democracia en Venezuela.
[3:11:56]  El recomendante de su operación, tipo, como lo donde cualquiera.
[3:12:01]  Henry Falcon, perro.
[3:12:07]  Muy embustero, muy embustero.
[3:12:10]  Partido que opé, ahora en Rue de Prensen secretarios general nacional de copégo en Carlos
[3:12:15]  Alvarado ratificó su rechazo a cualquier forma de ingerencia extranjera tras el despleguemilitar
[3:12:21]  de Estados Unidos cerca de las costas Venezuela.
[3:12:24]  Julio Borges, sobre una opción militar, si le preguntan a cualquier Venezuela no de 25 años.
[3:12:33]  Después de 25 años de tragedia, te diría que está dispuesto a cualquier tipo de solución
[3:12:38]  que implica la salida de maduro en poder o trodate a domas, es drogas o es cambio de régimen.
[3:12:51]  Entonces, lo que tiene que ver es a nuestro pueblo cuando lo ofende.
[3:13:12]  Hoy puedo decir luego de 20 días continos de anuncios amenazas, geéráfico lógica.
[3:13:19]  Hoy estamos más preparados para defender la paz, la soberanía y la integridad territorial
[3:13:26]  caller.
[3:13:27]  Mucho más.
[3:13:32]  Se lo que digo.
[3:13:33]  Hoy tenemos más apoyo nacional y tenemos más apoyo internacional.
[3:13:38]  ¿Qué es un cante?
[3:13:20]  los de ellos les da unimento
[3:13:50]  que es la gente de nuestro
[3:13:54]  general del pueblo soberano
[3:13:55]  se quiere esa mora que está
[3:13:57]  acabagando por esta
[3:13:59]  montaña es la moral del
[3:14:01]  gran casi que más carado que
[3:14:03]  las noches pasea por esta
[3:14:05]  montañas vigilante del
[3:14:07]  gran casi que goi cae puro
[3:14:08]  que está aquí con nosotros
[3:14:10]  es la moral de nuestro
[3:14:11]  comandante supremo guachave
[3:14:13]  a cada amenaza una
[3:14:15]  respuesta a cada intento
[3:14:17]  de enemigo fortaleza
[3:14:18]  de la revolución que ya
[3:14:19]  tiene 200 años somos un
[3:14:20]  pueblo de paz y paz queremos
[3:14:23]  y paz tendremos pero los
[3:14:24]  caminos de suro america están
[3:14:26]  abierto para defender la
[3:14:27]  paz de grande el día la
[3:14:29]  hora y en el momento en
[3:14:30]  que voliva de la orden y
[3:14:32]  la me al despertar de sus
[3:14:34]  tropas otra vez para liberar
[3:14:36]  del imperialismo y del
[3:14:37]  colonialismo toda esta
[3:14:38]  tierra grande que nacieron
[3:14:40]  para hacer libres por ahora
[3:14:41]  y por siempre integrantes del
[3:14:44]  segundo curso de operaciones
[3:14:45]  especiales revolucionarias
[3:14:47]  coer huran del ante de Dios
[3:14:49]  de nuestro libertador simon
[3:14:50]  Bolivar huran por Venezuela
[3:14:52]  huran por la vanderatricolor
[3:14:54]  huran por los más grandes
[3:14:56]  valores de la patria huran
[3:14:58]  por la contitución cumplir
[3:15:00]  con las leyes y
[3:15:01]  relevantos que tiene el país
[3:15:03]  para garantizar la paz
[3:15:04]  la estabilidad y el derecho
[3:15:06]  a la vida del pueblo huran
[3:15:08]  no dar déjanso a sus brazos
[3:15:10]  ni reposo a sus almas y
[3:15:12]  trabajar incansalmente por la
[3:15:15]  defensa en nuestra soberanía
[3:15:17]  para alcanzar la patria
[3:15:19]  ineponable la patria socialista
[3:15:21]  justa y solidaria en perfecta
[3:15:23]  fusión popular militar
[3:15:26]  policial hasta perder la vida
[3:15:28]  si fuese necesario lo juran
[3:15:30]  ustedes
[3:15:47]  por la patria
[3:15:49]  por esta tierra sagrada
[3:15:51]  si así lo hicieran
[3:15:52]  merecerán las vendiciones
[3:15:53]  de Dios del pueblo
[3:15:55]  y el reconocimiento de toda la patria
[3:15:57]  queda núcteres
[3:15:58]  investidos de este momento
[3:15:59]  en profesionales de los cuerpos
[3:16:01]  especiales de la República
[3:16:03]  Bolivariana de Venezuela
[3:16:05]  aljo en matea al batalla
[3:16:07]  y siempre a la victoria
[3:16:09]  felicitación
[3:16:11]  la patria
[3:16:15]  yo me ha listo por mi país
[3:16:17]  por mi tierra como bandera
[3:16:19]  por la sangre bolivariana
[3:16:23]  yo me ha listo
[3:16:25]  por la defensa
[3:16:27]  y la soberanía de los clas
[3:16:29]  por que alimentan
[3:16:33]  la patria
[3:16:35]  y ella la me ha listo
[3:16:37]  por la defensa y les
[3:16:38]  que se generanía de los clas, porque alimentan y el
[3:16:43]  trámpico. Alistándonos para el combate, no
[3:16:46]  trámpico a moencasa, no dos salimos a combatir para
[3:16:48]  defende nuestra papia, en nuestra pena corre las
[3:16:50]  sangre de ese que esa mora nos eserovenso silva,
[3:16:52]  que quitamos en cogeres preparados para
[3:16:54]  nuestra batalla. Alistándome para defender
[3:16:57]  la patria, la patria que lo dejó,
[3:16:59]  nuestro padre de la patria, si món
